night,title,author,index_code
1,雪,中谷宇吉郎,1
2,ペガーナの神々,ロード・ダンセーニ,5
3,中国書畫話,長尾雨山,5
4,皇帝の新しい心,ロジャー・ペンローズ,2
5,火の誓い,河井寛次郎,5
6,辞書の世界史,ジョナサン・グリーン,8
7,神々の猿,ベンチョン・ユー,6
8,バベッジのコンピュータ,新戸雅章,1
9,新々百人一首,丸谷才一,5
10,内なる神,ルネ・デュボス,2
11,黙阿弥の明治維新,渡辺保,5
12,テスト氏,ポール・ヴァレリー,8
13,幻想の中世,ユルジス・バルトルシャイティス,3
14,クリオの顔,ハーバート・ノーマン,6
15,王と公,鈴木正幸編,6
16,夜間飛行,サン=テグジュペリ,5
17,定家明月記私抄,堀田善衛,5
18,科学と方法,アンリ・ポアンカレ,1
19,マリリン・モンローの真実,アンソニー・サマーズ,5
20,晶子曼陀羅,佐藤春夫,5
21,日々の泡,ボリス・ヴィアン,5
22,縞々学,川上紳一,2
23,崩壊概論,エミール・シオラン,3
24,耕衣自伝,永田耕衣,5
25,レオナルド・ダ・ヴィンチの手記,レオナルド・ダ・ヴィンチ,5
26,さらば愛しき女よ,レイモンド・チャンドラー,5
27,ウイルスの反乱,ロビン・マランツ・ヘニッグ,2
28,虚空遍歴,山本周五郎,5
29,レスボスの女王,ジャン・シャロン,5
30,日本のサブカルチャー,イアン・ビュルマ,7
31,銀の匙,中勘助,5
32,蒼ざめた馬,ロープシン,5
33,遺された黒板絵,ルドルフ・シュタイナー,5
34,超男性,アルフレッド・ジャリ,5
35,日本は俳句の国か,加藤郁乎,5
36,日本人と中国人,陳舜臣,7
37,集団語辞典,米川明彦編,8
38,遠い声・遠い部屋,トルーマン・カポーティ,5
39,フランスから,高田博厚,5
40,ドリアン・グレイの肖像,オスカー・ワイルド,5
41,アジア音楽史,柘植元一・植村幸生編,5
42,方丈記,鴨長明,6
43,日本・現代・美術,椹木野衣,5
44,きもの,幸田文,7
45,国家と犯罪,船戸与一,7
46,マルテの手記,ライナー・マリア・リルケ,5
47,魯山人書論,北大路魯山人・平野雅章編,5
48,動機の文法,ケネス・バーク,8
49,マイルス・デイビス自叙伝,マイルス・デイビス＆クインシー・トループ,5
50,時代考証事典,稲垣史生,8
51,内部観測,郡司ペギオ幸夫／松野孝一郎／オットー・レスラー,2
52,淀川長治自伝,淀川長治,5
53,雪国,川端康成,5
54,近世数学史談,高木貞治,1
55,ドリトル先生アフリカゆき,ヒュー・ロフティング,5
56,闇の歴史,カルロ・ギンズブルグ,6
57,デュシャンは語る,マルセル・デュシャン＆ピエール・カバンヌ,5
58,絵のない絵本,ハンス・C・アンデルセン,5
59,華国風味,青木正児,6
60,陰翳礼讚,谷崎潤一郎,5
61,歴史主義の成立,フリードリッヒ・マイネッケ,6
62,ニューロマンサー,ウィリアム・ギブスン,5
63,重源,伊藤ていじ,6
64,城,フランツ・カフカ,5
65,神道とは何か,鎌田東二,6
66,生きて行く私,宇野千代,7
67,物理学とは何だろうか,朝永振一郎,1
68,青い鳥,モーリス・メーテルリンク,5
69,思想史の相貌,西部邁,3
70,グーテンベルクの銀河系,マーシャル・マクルーハン,8
71,ひかりごけ,武田泰淳,5
72,マリス博士の奇想天外な人生,キャリー・マリス,2
73,赤いろうそくと人魚,小川未明童話集より,5
74,マン・レイ,ニール・ボールドウィン,5
75,茶の本,岡倉天心,5
76,のり平のパーッといきましょう,三木のり平,7
77,風土の日本,オギュスタン・ベルク,3
78,ジャンヌ・ダルク,ジュール・ミシュレ,6
79,菊坂ホテル,上村一夫,7
80,時の声,Ｊ・Ｇ・バラード,5
81,ぼくは散歩と雑学がすき,植草甚一,8
82,円環の変貌,ジョルジュ・プーレ,3
83,自然界における左と右,マーティン・ガードナー,2
84,ある映画監督の生涯,新藤兼人,5
85,中世の文学,唐木順三,5
86,コロンビア大学／現代文学・文化批評用語辞典,ジョセフ・チルダーズ＆ゲーリー・ヘンツィ編,8
87,日本の歴史をよみなおす,網野善彦,6
88,ヴォーグで見たヴォーグ,グレース・ミラベラ,7
89,芸術的抵抗と挫折,吉本隆明,3
90,カメラ・オブスクラ年代記,ジョン・ハモンド,5
91,HAL伝説,デヴィッド・ストーク編集,1
92,デジタル・チルドレン,ドン・タプスコット,1
93,権藤成卿,滝沢誠,6
94,愛猿記,子母沢寛,2
95,町でいちばんの美女,チャールズ・ブコウスキー,5
96,印度六派哲学,木村泰賢,6
97,キャバレーの文化史,ハインツ・グロイル,5
98,和をもって日本となす,ロバート・ホワイティング,7
99,シュトックハウゼン音楽論集,カールハインツ・シュトックハウゼン,5
100,上方芸能列伝,澤田隆治,7
101,スーパーネイチュア,ライアル・ワトスン,2
102,父の時代・私の時代,堀内誠一,7
